Sheet,Action,Details
employees,Manual review required,"employee_id=393 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=92 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=398 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=None -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=445 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=116 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=448 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=117 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=451 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=118 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=454 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=119 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=457 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=120 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=460 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=121 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=463 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=122 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=466 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=123 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=469 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=124 -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=472 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=None -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=475 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=None -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=478 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=None -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
employees,Manual review required,"employee_id=481 name='Alapan Bera' designation='Commercial & F&C' current_suborg_id=None -- Word lists this exact name+designation at 27 different stations (Adani Green Energy Twenty Five A Limited -PSS3, Adani Green Energy Twenty Five B Limited -PSS3, Adani Green Energy Twenty Four A Limited -PSS3, Adani Green Energy Twenty Four Limited – PSS-4, Adani Green Energy Twenty Six A Limited -PSS3, Adani Green Energy Twenty Six B Limited -PSS3, Adani Hazira Port Limited-PSS3, Adani Hybrid Energy Jaisalmer Five Limited -PSS4, Adani Ports and Special Economic Zone Limited -PSS3, Adani Ports and Special Economic Zone Limited -PSS4, Adani Renewable Energy Fifty Five Limited - PSS3, Adani Renewable Energy Fifty Seven Limited PSS-13, Adani Renewable Energy Fifty Six Limited – PSS4, Adani Renewable Energy Fifty Six Limited – PSS9, Adani Renewable Energy Forty Eight Limited-PSS9, Adani Renewable Energy Forty One Limited - PSS3, Adani Renewable Energy Forty One Limited PSS-13, Adani Renewable Energy Forty One Limited – PSS4, Adani Renewable Energy Holding Four Limited-PSS1, Adani Solar Energy Jodhpur Six Private Limited- PSS9, Adani Wind Energy Kutch Five Limited, Adani Wind Energy Kutch Four Limited, Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL, Adani Wind Energy Kutch Three Limited, Adani Wind Energy MP One Private Limited, Ambuja Cements Limited -PSS-4, Ambuja Cements Limited-PSS-3); can't determine which one this row means"
