id,station,field,raw_value,detected_repeat_count
7824,Control Room,phone_number,"9425293187 /8349994050, 0788-2284011, 0788-2445999, 0788-2284012 / 9425293187 /8349994050, 0788-2284011, 0788-2445999, 0788-2284012 / 9425293187 /8349994050, 0788-2284011, 0788-2445999, 0788-2284012",3
7827,Control Room,phone_number,Control Room; 7583888500 / 7583888500 / 7583888500,3
7828,Control Room,phone_number,Control Room; 07717163355/7747013533 / 07717163355/7747013533 / 07717163355/7747013533,3
7829,Control Room,phone_number,Control Room; 8007060703/ 02359-241120 / 8007060703/ 02359-241120 / 8007060703/ 02359-241120,3
7830,Control Room,phone_number,773013005 & 9685575988 / 773013005 & 9685575988 / 773013005 & 9685575988,3
7831,SIC Control Room,phone_number,SIC Control Room; 8770890431 / 8770890431 / 8770890431,3
7833,Control Room,phone_number,7389939074/ 7471143902 / 7389939074/ 7471143902 / 7389939074/ 7471143902,3
7834,"SCE, RBPH Control Room",phone_number,02640- 232101/232565 +91 6359933142 / 02640- 232101/232565 +91 6359933142 / 02640- 232101/232565 +91 6359933142,3
7835,"SCE, CHPH, Control Room",phone_number,02640-233025 +91 6359900626 / 02640-233025 +91 6359900626 / 02640-233025 +91 6359900626,3
7836,"EMC, Control Room, Indore",phone_number,"0731-2552703, 0731-2574633, 0731-4225058, 0731-2575766 / 0731-2552703, 0731-2574633, 0731-4225058, 0731-2575766 / 0731-2552703, 0731-2574633, 0731-4225058, 0731-2575766",3
7838,"SCE, Central Control Room",phone_number,7470444273 / 7470444273 / 7470444273,3
7839,Control Room,phone_number,0261 7146596 / 0261 7146596 / 9909993555,2
7844,Control Room 1,phone_number,0261-6683609/ 6683932 / 0261-6683609/ 6683932 / 9879103310,2
7845,Control Room -2,phone_number,0261-6688500/ 6688043 / 0261-6688500/ 6688043 / 9909902153,2
7846,Process Control Room,phone_number,02525-265510/ 265404 / NA / NA,2
7847,Control Room PSCC,phone_number,"9769281234, 8976863517 / 9769281234, 8976863517 / 9769281234, 8976863517",3
7848,Control Room PSCC,phone_number,022- 25543331 / 67175377 /67175378 / 022- 25543331 / 67175377 /67175378 / 022- 25543331 / 67175377 /67175378,3
7849,Control Room PSCC,phone_number,Fax - 022-67175385 / Fax - 022-67175385 / Fax - 022-67175385,3
7850,Control Room,phone_number,0120 4948584 / 2410606 / 0120 4948584 / 2410606 / 0120 4948584 / 2410606,3
7864,Switchyard,phone_number,"02525-244120, 02525-244128 (F) / 02525-244120, 02525-244128 (F)",2
